0x0220A006,8,0x80,0xD0,0x00,0x00,0x00,0x00,0x00,0x00,128,208,000,000,000,000,000,000
0x0218A006,8,0x00,0x2C,0x00,0x2C,0x00,0x2C,0x00,0x2C,000,044,000,044,000,044,000,044
0x0010A006,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,000,000,000,000,000,000,000,000
0x0816A101,8,0x16,0xC2,0xFF,0xFF,0x00,0x00,0x00,0x00,022,194,255,255,000,000,000,000
0x0628A001,8,0x00,0x24,0x00,0x80,0x12,0x00,0x00,0x20,000,036,000,128,018,000,000,032
0x0810A000,8,0x01,0xFE,0x1C,0x00,0x00,0x00,0x00,0x00,001,254,028,000,000,000,000,000
0x0030A002,8,0xBF,0xDF,0xE9,0xD1,0xD0,0x11,0x3E,0x82,191,223,233,209,208,017,062,130
0x0618A001,8,0x00,0x15,0x04,0x4D,0x10,0x18,0x57,0x00,000,021,004,077,016,024,087,000
0x0028A00F,8,0xDD,0x00,0x47,0xB8,0x81,0x67,0xFF,0x00,221,000,071,184,129,103,255,000
0x0028A00F,8,0x9F,0x00,0x47,0xB9,0x81,0x57,0xFF,0x00,159,000,071,185,129,087,255,000
0x0A18A001,8,0x00,0x00,0xC0,0x5A,0x02,0x5C,0x22,0x00,000,000,192,090,002,092,034,000
0x0628A001,8,0x00,0x24,0x00,0x80,0x12,0x00,0x00,0x20,000,036,000,128,018,000,000,032
0x0628A001,8,0x00,0x24,0x00,0x80,0x12,0x00,0x00,0x20,000,036,000,128,018,000,000,032
0x0628A001,8,0x00,0x24,0x00,0x80,0x12,0x00,0x00,0x20,000,036,000,128,018,000,000,032
0x0220A006,8,0x80,0xD0,0x00,0x00,0x00,0x00,0x00,0x00,128,208,000,000,000,000,000,000
0x0810A000,8,0x01,0xFE,0x18,0x00,0x00,0x00,0x00,0x00,001,254,024,000,000,000,000,000
0x0810A000,8,0x01,0xFE,0x18,0x00,0x00,0x00,0x00,0x00,001,254,024,000,000,000,000,000
0x0810A000,8,0x01,0xFE,0x18,0x00,0x00,0x00,0x00,0x00,001,254,024,000,000,000,000,000
0x0A28A000,8,0x00,0x00,0x00,0xE5,0x06,0xE0,0xC0,0x00,000,000,000,229,006,224,192,000
0x0218A006,8,0x00,0x2C,0x00,0x2C,0x00,0x2C,0x00,0x2C,000,044,000,044,000,044,000,044
0x0220A006,8,0x80,0xD0,0x00,0x00,0x00,0x00,0x00,0x00,128,208,000,000,000,000,000,000
0x0220A006,8,0x80,0xB0,0x00,0x00,0x00,0x00,0x00,0x00,128,176,000,000,000,000,000,000
0x0810A000,8,0x01,0xFE,0x14,0x00,0x00,0x00,0x00,0x00,001,254,020,000,000,000,000,000
0x0618A001,8,0x00,0x0F,0x05,0xBE,0x0A,0x16,0x59,0x00,000,015,005,190,010,022,089,000
0x0028A00F,8,0x97,0x00,0x37,0xB9,0x81,0x67,0xFE,0x00,151,000,055,185,129,103,254,000
0x0815A101,8,0x5B,0x03,0xFE,0x35,0x00,0x00,0x00,0x00,091,003,254,053,000,000,000,000
0x0A18A001,8,0x00,0x00,0xC0,0x5A,0x03,0xB8,0x29,0x00,000,000,192,090,003,184,041,000
0x0A28A000,8,0x00,0x00,0x00,0xE5,0x06,0xE0,0xC0,0x00,000,000,000,229,006,224,192,000
